num,name,age,year,dynasty
1,秦始皇嬴政,50,前259年—前210年,秦
2,秦二世嬴胡亥,24,前230年—前207年,秦
3,汉高帝刘邦,62,前256年—前195年,西汉
4,汉惠帝刘盈,23,前210年—前188年,西汉
5,汉文帝刘恒,46,前202年—前157年,西汉
6,汉景帝刘启,48,前188年—前141年,西汉
7,汉武帝刘彻,70,前156年—前87年,西汉
8,汉昭帝刘弗陵,21,前94年—前74年,西汉
9,昌邑王刘贺,34,前92年—前59年,西汉
10,汉宣帝刘询,43,前91年—前49年,西汉
11,汉元帝刘奭,42,前74年—前33年,西汉
12,汉成帝刘骜,45,前51年—前7年,西汉
13,汉哀帝刘欣,26,前26年—前1年,西汉
14,汉平帝刘衎,14,前9年—6年,西汉
15,孺子婴刘婴,21,5年—25年,西汉
16,新朝王莽,69,前45年—23年,新
17,汉光武帝刘秀,63,前5年—57年,东汉
18,汉明帝刘庄,48,28年—75年,东汉
19,汉章帝刘炟,32,57年—88年,东汉
20,汉和帝刘肇,27,79年—105年,东汉
21,汉殇帝刘隆,2,105年—106年,东汉
22,汉安帝刘祜,32,94年—125年,东汉
23,汉顺帝刘保,30,115年—144年,东汉
24,汉冲帝刘炳,3,143年—145年,东汉
25,汉质帝刘缵,9,138年—146年,东汉
26,汉桓帝刘志,36,132年—167年,东汉
27,汉灵帝刘宏,34,156年—189年,东汉
28,汉少帝刘辩,15,176年—190年,东汉
29,汉献帝刘协,54,181年—234年,东汉
30,汉昭烈帝（先主）刘备,63,161年—223年,蜀汉
31,汉怀帝（后主）刘禅,65,207年—271年,蜀汉
32,魏文帝曹丕,40,187年—226年,魏
33,魏明帝曹睿,34,205年—239年,魏
34,魏齐王曹芳,43,232年—274年,魏
35,魏高贵乡公曹髦,20,241年—260年,魏
36,魏元帝曹奂,58,245年—302年,魏
37,吴大帝孙权,71,182年—252年,吴
38,吴废帝孙亮,18,243年—260年,吴
39,吴景帝孙休,30,235年—264年,吴
40,吴末帝孙皓,43,242年—284年,吴
41,晋武帝司马炎,55,236年—290年,西晋
42,晋惠帝司马衷,48,259年—307年,西晋
43,晋怀帝司马炽,30,284年—313年,西晋
44,晋愍帝司马邺,18,300年—317年,西晋
45,晋元帝司马睿,47,276年—323年,东晋
46,晋明帝司马绍,27,299年—325年,东晋
47,晋成帝司马衍,22,321年—342年,东晋
48,晋康帝司马岳,23,322年—344年,东晋
49,晋穆帝司马聃,19,343年—361年,东晋
50,晋哀帝司马丕,25,341年—365年,东晋
51,晋废帝司马奕,45,342年—386年,东晋
52,晋简文帝司马昱,52,321年—372年,东晋
53,晋孝武帝司马曜,35,362年—396年,东晋
54,晋安帝司马德宗,37,382年—418年,东晋
55,晋恭帝司马德文,37,385年—421年,东晋
56,楚武悼帝桓玄,36,369年—404年,桓楚
57,成武帝李雄,61,274年—334年,成汉
58,成戾太子李班,47,288年—334年,成汉
59,成幽公李期,26,314年—338年,成汉
60,汉昭文帝李寿,44,300年—343年,成汉
61,后赵明帝石勒,60,274年—333年,后赵
62,后赵海阳王石弘,22,314年—335年,后赵
63,后赵武帝石虎,55,295年—349年,后赵
64,后赵谯王石世,11,339年—349年,后赵
65,前燕文明帝慕容皝,52,297年—348年,前燕
66,前燕景昭帝慕容俊,42,319年—360年,前燕
67,前燕幽帝慕容暐,45,327年—371年,前燕
68,西燕威帝慕容冲,28,359年—386年,西燕
69,后燕成武帝慕容垂,71,326年—396年,后燕
70,后燕惠愍帝慕容宝,44,355年—398年,后燕
71,后燕昭武帝慕容盛,29,373年—401年,后燕
72,后燕昭文帝慕容熙,23,385年—407年,后燕
73,南燕献武帝慕容德,70,336年—405年,南燕
74,南燕末主慕容超,26,385年—410年,南燕
75,后凉懿武帝吕光,62,338年—399年,后凉
75,前秦惠武帝苻洪,66,285年—350年,前秦
76,前秦明帝苻健,39,317年—355年,前秦
77,前秦厉王苻生,23,335年—357年,前秦
78,前秦宣昭帝苻坚,48,338年—385年,前秦
79,前秦高帝苻登,52,343年—394年,前秦
80,后秦武昭帝姚苌,64,330年—393年,后秦
81,后秦文桓帝姚兴,51,366年—416年,后秦
82,后秦末主姚泓,30,388年—417年,后秦
83,夏武烈帝赫连勃勃,45,381年—425年,赫连夏
84,宋武帝刘裕,60,363年—422年,南朝宋
85,宋少帝刘义符,19,406年—424年,南朝宋
86,宋文帝刘义隆,47,407年—453年,南朝宋
87,宋元凶刘劭,28,426年—453年,南朝宋
88,宋孝武帝刘骏,35,430年—464年,南朝宋
89,宋前废帝刘子业,17,449年—465年,南朝宋
90,宋明帝刘彧,34,439年—472年,南朝宋
91,宋后废帝刘昱,15,463年—477年,南朝宋
92,宋顺帝刘准,13,467年—479年,南朝宋
93,齐高帝萧道成,56,427年—482年,南朝齐
94,齐武帝萧赜,54,440年—493年,南朝齐
95,齐郁林王萧昭业,22,473年—494年,南朝齐
96,齐海陵王萧昭文,15,480年—494年,南朝齐
97,齐明帝萧鸾,47,452年—498年,南朝齐
98,齐东昏侯萧宝卷,19,483年—501年,南朝齐
99,齐和帝萧宝融,15,488年—502年,南朝齐
100,梁武帝萧衍,86,464年—549年,南朝梁
101,梁简文帝萧纲,49,503年—551年,南朝梁
102,梁元帝萧绎,47,508年—554年,南朝梁
103,梁敬帝萧方智,16,543年—558年,南朝梁
104,梁武陵贞献王萧纪,46,508年—553年,南朝梁
105,梁永嘉王萧庄,30,548年—577年,南朝梁
106,梁宣帝萧察,44,519年—562年,南朝梁
107,梁明帝萧岿,44,542年—585年,南朝梁
108,陈武帝陈霸先,57,503年—559年,南朝陈
109,陈文帝陈蒨,45,522年—566年,南朝陈
110,陈废帝陈伯宗,17,554年—570年,南朝陈
111,陈宣帝陈顼,53,530年—582年,南朝陈
112,陈后主陈叔宝,52,553年—604年,南朝陈
113,北魏道武帝拓跋圭,39,371年—409年,北魏
114,北魏明元帝拓跋嗣,32,392年—423年,北魏
115,北魏太武帝拓跋焘,45,408年—452年,北魏
116,北魏文成帝拓跋濬,26,440年—465年,北魏
117,北魏献文帝拓跋弘,23,454年—476年,北魏
118,北魏孝文帝元宏,33,467年—499年,北魏
119,北魏宣武帝元恪,33,483年—515年,北魏
120,北魏孝明帝元诩,19,510年—528年,北魏
121,北魏女帝元姑娘,1,528年—528年,北魏
122,北魏幼主元钊,3,526年—528年,北魏
123,北魏孝庄帝元子攸,24,507年—530年,北魏
124,北魏节闵帝元恭,35,498年—532年,北魏
125,北魏安定王元朗,20,513年—532年,北魏
126,北魏孝武帝元修,25,510年—534年,北魏
127,东魏孝静帝元善见,28,524年—551年,东魏
128,西魏文帝元宝炬,45,507年—551年,西魏
129,西魏废帝元钦,16,525年—554年,西魏
130,西魏恭帝拓跋廓,21,537年—557年,西魏
131,北齐文宣帝高洋,31,529年—559年,北齐
132,北齐废帝高殷,17,545年—561年,北齐
133,北齐孝昭帝高演,27,535年—561年,北齐
134,北齐武成帝高湛,32,537年—568年,北齐
135,北齐后主高纬,21,556年—577年,北齐
136,北齐幼主高恒,8,570年—578年,北齐
137,北周孝闵帝宇文觉,16,542年—557年,北周
138,北周明帝宇文毓,27,534年—560年,北周
139,北周武帝宇文邕,36,543年—578年,北周
140,北周宣帝宇文赟,22,559年—580年,北周
141,北周静帝宇文阐,9,573年—581年,北周
142,隋文帝杨坚,64,541年—604年,隋
143,隋炀帝杨广,50,569年—618年,隋
144,隋恭帝杨侑,15,605年—619年,隋
145,隋皇泰主杨侗,16,604年—619年,隋
146,唐高祖李渊,70,566年—635年,唐
147,唐太宗李世民,51,599年—649年,唐
148,唐高宗李治,56,628年—683年,唐
149,武则天武瞾,82,624年—705年,唐
150,唐中宗李显,56,656年—710年,唐
151,唐殇帝李重茂,20,695年—714年,唐
152,唐睿宗李旦,55,662年—716年,唐
153,唐玄宗李隆基,78,685年—762年,唐
154,唐肃宗李亨,52,711年—762年,唐
155,唐代宗李豫,54,726年—779年,唐
156,唐德宗李适,64,742年—805年,唐
157,唐顺宗李诵,46,761年—806年,唐
158,唐宪宗李纯,43,778年—820年,唐
159,唐穆宗李恒,30,795年—824年,唐
160,唐敬宗李湛,18,809年—826年,唐
161,唐文宗李昂,32,809年—840年,唐
162,唐武宗李炎,33,814年—846年,唐
163,唐宣宗李忱,50,810年—859年,唐
164,唐懿宗李漼,41,833年—873年,唐
165,唐僖宗李儇,27,862年—888年,唐
166,唐昭宗李晔,38,867年—904年,唐
167,唐哀帝李柷,17,892年—908年,唐
168,后梁太祖朱温,61,852年—912年,后梁
169,后梁郢王朱友圭,30,884年—913年,后梁
169,后梁末帝朱友贞,36,888年—923年,后梁
170,后唐庄宗李存勖,42,885年—926年,后唐
171,后唐明宗李嗣源,67,867年—933年,后唐
172,后唐闵帝李从厚,21,914年—934年,后唐
173,后唐末帝李从珂,52,885年—936年,后唐
174,后晋高祖石敬瑭,51,892年—942年,后晋
175,后晋出帝石重贵,61,914年—974年,后晋
176,后汉高祖刘知远,54,895年—948年,后汉
177,后汉隐帝刘承祐,20,931年—950年,后汉
178,北汉世祖刘崇,60,895年—954年,北汉
179,北汉睿宗刘钧,43,926年—968年,北汉
180,后周太祖郭威,51,904年—954年,后周
181,后周世宗柴荣,39,921年—959年,后周
182,后周恭帝柴宗训,21,953年—973年,后周
183,吴太祖杨行密,54,852年—905年,南吴
184,吴烈祖杨渥,23,886年—908年,南吴
185,吴高祖杨隆演,24,897年—920年,南吴
186,吴睿帝杨溥,38,900年—937年,南吴
187,南唐烈祖李昪,56,888年—943年,南唐
188,南唐元宗李璟,46,916年—961年,南唐
189,南唐后主李煜,42,937年—978年,南唐
190,南汉高祖刘岩,54,889年—942年,南汉
191,南汉殇帝刘玢,24,920年—943年,南汉
192,南汉中宗刘晟,39,920年—958年,南汉
193,南汉后主刘鋹,38,943年—980年,南汉
194,前蜀高祖王建,72,847年—918年,前蜀
195,前蜀后主王衍,28,899年—926年,前蜀
